Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Formulation,Pack Type
4000D,400000758,HBM - R9 (20kg),Puffs & Kharis,,,0,N,Y,Specialty Fats,Case,Ltr,22.28,BP,MT,1114.21,0,yes,
4000D,400000778,HBM - G15 - Tin,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000783,HBM - Bake Oil 15 kg Tin,Bake Oil,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000787,HBM - G16 - Tin,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000810,HBM - 20Kg - G17,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,22.28,BP,MT,1114.21,0,yes,
4000D,400000821,HBM - R11,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000822,HBM - R12,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000827,HBM - ST 11,Three In One,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000753,HBM - G11 20KG,Specialty Fats,,,0,Y,N,Specialty Fats,Case,Ltr,22.71,BP,MT,1114.21,0,yes,
4000D,400000349,HBM - R4,Puff&Karis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000350,HBM - R6,Puff&Karis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000352,HBM - R9,Puff&Karis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000706,IVF LOOSE,Biscuits & Cookies,,,0,Y,N,Specialty Fats,KG,Ltr,1.114,BP,MT,1114.21,0,yes,
4000D,400000860,HBM ST-98,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000347,HBM - Y10,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000348,HBM - Y12,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000349,HBM - R4,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000350,HBM - R6,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000352,HBM - R9,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000353,HBM - G11,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000354,HBM - G13,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000355,HBM - S13,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000389,HBM Gold - RG01,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000390,HBM Gold - WG01,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000428,HBM Biscuit & Cookies - GT01,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000412,HBM Gold - GG01,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000411,HBM Gold - YG01,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000427,HBM Gold - PG01,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000413,HBM - Y13,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000414,HBM - Y99,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000545,HBM Gold - GG02,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000528,HBM - G14,Specialty Fats,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000347,HBM - Y10,All Purpose,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000348,HBM - Y12,All Purpose,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000349,HBM - R4,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000350,HBM - R6,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000352,HBM - R9,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000353,HBM - G11,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000354,HBM - G13,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000355,HBM - S13,Three In One,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000389,HBM Gold - RG01,Puffs & Kharis,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000390,HBM Gold - WG01,Frozen Dessert,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000428,HBM - GT01,Biscuits & Cookies,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
9201,400000412,HBM Gold - GG01,Biscuits & Cookies,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
